num_agents,fault_count,success,duration,total_distance,avg_distance,gini_index,reallocation_time,cost_efficiency,recovery_count,crashed_count,total_bids,bids_per_auction,wasted_attempts,map_coverage,scenario_tag,scenario,trial
8,0,True,235.86666666666667,512.3413566951572,64.04266958689465,0.039473684210526314,0.0,2.286363636363637,0,0,11504,8.0,0,59.375,N8_NoFault,Scalability,29
8,1,True,127.71666666666667,260.9074747387595,32.61343434234494,0.125,0.0,2.1917391304347826,0,0,5880,8.0,0,23.4375,Fault_1,FaultTolerance,0
8,1,True,220.7,433.72084777198444,54.215105971498055,0.13257575757575757,0.0,2.257073170731708,0,0,10560,8.0,0,51.5625,Fault_1,FaultTolerance,1
8,1,True,159.75,313.8438006078949,39.23047507598686,0.125,0.0,2.17448275862069,0,0,7728,8.0,0,32.8125,Fault_1,FaultTolerance,2
8,1,True,546.9,705.914811593448,88.239351449181,0.375,33.92716049382717,2.2911290322580653,46,2,15816,8.0,0,87.5,Fault_1,FaultTolerance,3
8,1,True,460.53333333333336,732.8663871069335,91.60829838836669,0.18253968253968253,20.84816666666666,2.309701492537314,22,0,14296,8.0,3,93.75,Fault_1,FaultTolerance,4
8,1,True,184.43333333333334,367.09547444258396,45.886934305322995,0.125,0.0,2.188709677419355,0,0,8280,8.0,0,35.9375,Fault_1,FaultTolerance,5
8,1,True,46.11666666666667,126.46775386911492,15.808469233639364,0.0,0.0,2.0,0,0,0,0.0,0,0.0,Fault_1,FaultTolerance,6
8,1,True,41.21666666666667,117.58804815958914,14.698506019948642,0.0,0.0,2.0,0,0,0,0.0,0,0.0,Fault_1,FaultTolerance,7
8,1,True,57.71666666666667,147.33648052245053,18.417060065306316,0.875,0.0,2.0255555555555556,0,0,448,8.0,0,1.5625,Fault_1,FaultTolerance,8
8,1,True,307.3833333333333,576.6346543823071,72.07933179778838,0.125,7.013257575757574,2.3042592592592595,5,0,12952,8.0,1,71.875,Fault_1,FaultTolerance,9
8,1,True,126.55,261.39048720231034,32.67381090028879,0.125,0.0,2.1713636363636364,0,0,5544,8.0,0,21.875,Fault_1,FaultTolerance,10
8,1,True,163.85,333.4068696299152,41.6758587037394,0.15,0.0,2.170714285714286,0,0,7440,8.0,0,31.25,Fault_1,FaultTolerance,11
8,1,True,49.38333333333333,137.01636441106677,17.127045551383347,0.0,0.0,2.0,0,0,0,0.0,0,0.0,Fault_1,FaultTolerance,12
8,1,True,392.3333333333333,673.1212743976072,84.1401592997009,0.125,13.109374999999996,2.2979661016949153,13,0,13800,8.0,2,82.8125,Fault_1,FaultTolerance,13
8,1,False,1666.6666666666667,932.9428266823076,116.61785333528844,0.15625,21.690416666666657,2.288153846153846,20,0,13840,8.0,1,98.4375,Fault_1,FaultTolerance,14
8,1,True,143.63333333333333,296.3809632202237,37.04762040252796,0.125,0.0,2.1443478260869564,0,0,5880,8.0,0,23.4375,Fault_1,FaultTolerance,15
8,1,True,170.7,343.0077495381475,42.87596869226844,0.125,0.0,2.1734482758620692,0,0,7728,8.0,0,32.8125,Fault_1,FaultTolerance,16
8,1,True,50.25,125.9257713965753,15.740721424571912,0.0,0.0,2.0,0,0,0,0.0,0,0.0,Fault_1,FaultTolerance,17
8,1,True,228.8,447.0039009026398,55.87548761282998,0.125,0.0,2.1930000000000005,0,0,10368,8.0,0,50.0,Fault_1,FaultTolerance,18
8,1,True,384.15,684.4197277087459,85.55246596359324,0.12938596491228072,13.04259259259259,2.3787096774193546,14,0,13768,8.0,2,85.9375,Fault_1,FaultTolerance,19
8,1,True,171.05,337.38993159653467,42.17374144956683,0.125,0.0,2.172333333333334,0,0,8008,8.0,0,34.375,Fault_1,FaultTolerance,20
8,1,True,76.88333333333334,177.9260082149255,22.240751026865688,0.375,0.0,2.086923076923077,0,0,2160,8.0,0,7.8125,Fault_1,FaultTolerance,21
8,1,True,83.01666666666667,182.52750282733544,22.81593785341693,0.25,0.0,2.0957142857142856,0,0,2568,8.0,0,9.375,Fault_1,FaultTolerance,22
8,1,True,96.6,212.4701836006135,26.558772950076687,0.125,0.0,2.1118750000000004,0,0,3360,8.0,0,12.5,Fault_1,FaultTolerance,23
